"","thresholds","TPR","FPR","NB","time","model"
"1485",0.0562665608891481,0.118884897810413,0.881115102189587,0.0663517200156234,12,"All-12"
"1486",0.0562740915894393,0.118884897810413,0.881115102189587,0.0663442697323247,12,"All-12"
"1487",0.0565482842952535,0.118884897810413,0.881115102189587,0.0660729240060733,12,"All-12"
"1488",0.0566487360573179,0.118884897810413,0.881115102189587,0.0659734757686997,12,"All-12"
"1489",0.0568587463424572,0.118884897810413,0.881115102189587,0.0657654950702403,12,"All-12"
"1490",0.0569475482722487,0.118884897810413,0.881115102189587,0.0656775234767584,12,"All-12"
"1491",0.0569973619876573,0.118884897810413,0.881115102189587,0.0656281682872083,12,"All-12"
"1492",0.0570063772595767,0.118884897810413,0.881115102189587,0.0656192354419232,12,"All-12"
"1493",0.0575494642119689,0.118884897810413,0.881115102189587,0.0650807986937564,12,"All-12"
"1494",0.0577590761696466,0.118884897810413,0.881115102189587,0.0648728155345665,12,"All-12"
"1495",0.0581352788692696,0.118884897810413,0.881115102189587,0.0644993039639618,12,"All-12"
"1496",0.0583631505721544,0.118884897810413,0.881115102189587,0.0642729171814297,12,"All-12"
"1497",0.0583664790185301,0.118884897810413,0.881115102189587,0.064269609612882,12,"All-12"
"1498",0.0595837812904257,0.118884897810413,0.881115102189587,0.0630583728142833,12,"All-12"
"1499",0.0597101835971812,0.118884897810413,0.881115102189587,0.062932420601566,12,"All-12"
"1500",0.0597162110845283,0.118884897810413,0.881115102189587,0.0629264137310395,12,"All-12"
"1501",0.0603694103683123,0.118884897810413,0.881115102189587,0.0622749919891784,12,"All-12"
"1502",0.0605035295233033,0.118884897810413,0.881115102189587,0.0621411257218315,12,"All-12"
"1503",0.060982991163636,0.118884897810413,0.881115102189587,0.0616622554244561,12,"All-12"
"1504",0.0611388466935288,0.118884897810413,0.881115102189587,0.0615064867829652,12,"All-12"
"1505",0.0611532414814072,0.118884897810413,0.881115102189587,0.0614920974111902,12,"All-12"
"1506",0.0612341138233755,0.118884897810413,0.881115102189587,0.0614112472938652,12,"All-12"
"1507",0.0616231760233105,0.118884897810413,0.881115102189587,0.0610220972257566,12,"All-12"
"1508",0.0623698358769413,0.118884897810413,0.881115102189587,0.0602743641319693,12,"All-12"
"1509",0.0633225607881942,0.118884897810413,0.881115102189587,0.0593185388013327,12,"All-12"
"1510",0.0638790076597029,0.118884897810413,0.881115102189587,0.0587593811064907,12,"All-12"
"1511",0.0639803960654064,0.118884897810413,0.881115102189587,0.0586574271673511,12,"All-12"
"1512",0.0640534222295269,0.118884897810413,0.881115102189587,0.0585839799868709,12,"All-12"
"1513",0.064137997402584,0.118884897810413,0.881115102189587,0.0584989028894033,12,"All-12"
"1514",0.0646520478165471,0.118884897810413,0.881115102189587,0.0579814708176415,12,"All-12"
"1515",0.0647247157511607,0.118884897810413,0.881115102189587,0.0579082789542016,12,"All-12"
"1516",0.0648414327839985,0.118884897810413,0.881115102189587,0.0577906965952346,12,"All-12"
"1517",0.066397768477058,0.118884897810413,0.881115102189587,0.0562200127218364,12,"All-12"
"1518",0.0670077191459456,0.118884897810413,0.881115102189587,0.0556030095093381,12,"All-12"
"1519",0.0677601800579862,0.118884897810413,0.881115102189587,0.0548407358909068,12,"All-12"
"1520",0.0679101177507083,0.118884897810413,0.881115102189587,0.054688695833382,12,"All-12"
"1521",0.0684363623377534,0.118884897810413,0.881115102189587,0.054154685126246,12,"All-12"
"1522",0.0685877405651136,0.118884897810413,0.881115102189587,0.054000961159579,12,"All-12"
"1523",0.0691276918319281,0.118884897810413,0.881115102189587,0.0534522356523906,12,"All-12"
"1524",0.0693982304414021,0.118884897810413,0.881115102189587,0.0531770613250424,12,"All-12"
"1525",0.0719449168951701,0.118884897810413,0.881115102189587,0.0505788737864608,12,"All-12"
